id,name,email,phone,country,industry,address,created_at
1,Fabrikam Demo Customer 001,customer001@contoso.example,+1-555-010-0001,Chile,Salud,"1 Training Avenue, Chile",2025-01-02
2,Contoso Demo Customer 002,customer002@contoso.example,+1-555-010-0002,Argentina,Retail,"2 Training Avenue, Argentina",2025-01-03
3,Trey Research Demo Customer 003,customer003@contoso.example,+1-555-010-0003,Perú,Manufactura,"3 Training Avenue, Perú",2025-01-04
4,Fabrikam Demo Customer 004,customer004@contoso.example,+1-555-010-0004,Colombia,Tecnología,"4 Training Avenue, Colombia",2025-01-05
5,Proseware Demo Customer 005,customer005@contoso.example,+1-555-010-0005,México,Retail,"5 Training Avenue, México",2025-01-06
6,Fabrikam Demo Customer 006,customer006@contoso.example,+1-555-010-0006,Argentina,Manufactura,"6 Training Avenue, Argentina",2025-01-07
7,Tailspin Toys Demo Customer 007,customer007@contoso.example,+1-555-010-0007,Chile,Finanzas,"7 Training Avenue, Chile",2025-01-08
8,Trey Research Demo Customer 008,customer008@contoso.example,+1-555-010-0008,México,Tecnología,"8 Training Avenue, México",2025-01-09
9,Northwind Traders Demo Customer 009,customer009@contoso.example,+1-555-010-0009,España,Salud,"9 Training Avenue, España",2025-01-10
10,Trey Research Demo Customer 010,customer010@contoso.example,+1-555-010-0010,Chile,Educación,"10 Training Avenue, Chile",2025-01-11
11,Trey Research Demo Customer 011,customer011@contoso.example,+1-555-010-0011,Argentina,Tecnología,"11 Training Avenue, Argentina",2025-01-12
12,Tailspin Toys Demo Customer 012,customer012@contoso.example,+1-555-010-0012,Perú,Retail,"12 Training Avenue, Perú",2025-01-13
13,Northwind Traders Demo Customer 013,customer013@contoso.example,+1-555-010-0013,España,Finanzas,"13 Training Avenue, España",2025-01-14
14,Fourth Coffee Demo Customer 014,customer014@contoso.example,+1-555-010-0014,Argentina,Finanzas,"14 Training Avenue, Argentina",2025-01-15
15,Northwind Traders Demo Customer 015,customer015@contoso.example,+1-555-010-0015,Canadá,Retail,"15 Training Avenue, Canadá",2025-01-16
16,Woodgrove Bank Demo Customer 016,customer016@contoso.example,+1-555-010-0016,Perú,Finanzas,"16 Training Avenue, Perú",2025-01-17
17,Fourth Coffee Demo Customer 017,customer017@contoso.example,+1-555-010-0017,Colombia,Manufactura,"17 Training Avenue, Colombia",2025-01-18
18,Contoso Demo Customer 018,customer018@contoso.example,+1-555-010-0018,Chile,Manufactura,"18 Training Avenue, Chile",2025-01-19
19,Trey Research Demo Customer 019,customer019@contoso.example,+1-555-010-0019,Chile,Manufactura,"19 Training Avenue, Chile",2025-01-20
20,Fabrikam Demo Customer 020,customer020@contoso.example,+1-555-010-0020,España,Manufactura,"20 Training Avenue, España",2025-01-21
21,Contoso Demo Customer 021,customer021@contoso.example,+1-555-010-0021,México,Retail,"21 Training Avenue, México",2025-01-22
22,Trey Research Demo Customer 022,customer022@contoso.example,+1-555-010-0022,Colombia,Tecnología,"22 Training Avenue, Colombia",2025-01-23
23,Wide World Importers Demo Customer 023,customer023@contoso.example,+1-555-010-0023,España,Tecnología,"23 Training Avenue, España",2025-01-24
24,Alpine Ski House Demo Customer 024,customer024@contoso.example,+1-555-010-0024,Chile,Manufactura,"24 Training Avenue, Chile",2025-01-25
25,Trey Research Demo Customer 025,customer025@contoso.example,+1-555-010-0025,Canadá,Tecnología,"25 Training Avenue, Canadá",2025-01-26
26,Tailspin Toys Demo Customer 026,customer026@contoso.example,+1-555-010-0026,Argentina,Educación,"26 Training Avenue, Argentina",2025-01-27
27,Woodgrove Bank Demo Customer 027,customer027@contoso.example,+1-555-010-0027,Chile,Retail,"27 Training Avenue, Chile",2025-01-28
28,Litware Demo Customer 028,customer028@contoso.example,+1-555-010-0028,Perú,Educación,"28 Training Avenue, Perú",2025-01-29
29,Adventure Works Demo Customer 029,customer029@contoso.example,+1-555-010-0029,Portugal,Salud,"29 Training Avenue, Portugal",2025-01-30
30,Trey Research Demo Customer 030,customer030@contoso.example,+1-555-010-0030,España,Salud,"30 Training Avenue, España",2025-01-31
31,Proseware Demo Customer 031,customer031@contoso.example,+1-555-010-0031,México,Manufactura,"31 Training Avenue, México",2025-02-01
32,Trey Research Demo Customer 032,customer032@contoso.example,+1-555-010-0032,Canadá,Finanzas,"32 Training Avenue, Canadá",2025-02-02
33,Proseware Demo Customer 033,customer033@contoso.example,+1-555-010-0033,Canadá,Educación,"33 Training Avenue, Canadá",2025-02-03
34,Fabrikam Demo Customer 034,customer034@contoso.example,+1-555-010-0034,Colombia,Finanzas,"34 Training Avenue, Colombia",2025-02-04
35,Wide World Importers Demo Customer 035,customer035@contoso.example,+1-555-010-0035,Portugal,Manufactura,"35 Training Avenue, Portugal",2025-02-05
36,Adventure Works Demo Customer 036,customer036@contoso.example,+1-555-010-0036,Argentina,Finanzas,"36 Training Avenue, Argentina",2025-02-06
37,Alpine Ski House Demo Customer 037,customer037@contoso.example,+1-555-010-0037,España,Finanzas,"37 Training Avenue, España",2025-02-07
38,Litware Demo Customer 038,customer038@contoso.example,+1-555-010-0038,Argentina,Retail,"38 Training Avenue, Argentina",2025-02-08
39,Tailspin Toys Demo Customer 039,customer039@contoso.example,+1-555-010-0039,Portugal,Retail,"39 Training Avenue, Portugal",2025-02-09
40,Fabrikam Demo Customer 040,customer040@contoso.example,+1-555-010-0040,Perú,Salud,"40 Training Avenue, Perú",2025-02-10
41,Tailspin Toys Demo Customer 041,customer041@contoso.example,+1-555-010-0041,España,Manufactura,"41 Training Avenue, España",2025-02-11
42,Alpine Ski House Demo Customer 042,customer042@contoso.example,+1-555-010-0042,Perú,Manufactura,"42 Training Avenue, Perú",2025-02-12
43,Woodgrove Bank Demo Customer 043,customer043@contoso.example,+1-555-010-0043,Colombia,Educación,"43 Training Avenue, Colombia",2025-02-13
44,Contoso Demo Customer 044,customer044@contoso.example,+1-555-010-0044,España,Retail,"44 Training Avenue, España",2025-02-14
45,Woodgrove Bank Demo Customer 045,customer045@contoso.example,+1-555-010-0045,Chile,Finanzas,"45 Training Avenue, Chile",2025-02-15
46,Woodgrove Bank Demo Customer 046,customer046@contoso.example,+1-555-010-0046,Portugal,Educación,"46 Training Avenue, Portugal",2025-02-16
47,Fourth Coffee Demo Customer 047,customer047@contoso.example,+1-555-010-0047,Argentina,Educación,"47 Training Avenue, Argentina",2025-02-17
48,Tailspin Toys Demo Customer 048,customer048@contoso.example,+1-555-010-0048,Portugal,Educación,"48 Training Avenue, Portugal",2025-02-18
49,Adventure Works Demo Customer 049,customer049@contoso.example,+1-555-010-0049,Portugal,Educación,"49 Training Avenue, Portugal",2025-02-19
50,Wide World Importers Demo Customer 050,customer050@contoso.example,+1-555-010-0050,Colombia,Retail,"50 Training Avenue, Colombia",2025-02-20
51,Woodgrove Bank Demo Customer 051,customer051@contoso.example,+1-555-010-0051,Canadá,Educación,"51 Training Avenue, Canadá",2025-02-21
52,Fourth Coffee Demo Customer 052,customer052@contoso.example,+1-555-010-0052,Argentina,Manufactura,"52 Training Avenue, Argentina",2025-02-22
53,Fabrikam Demo Customer 053,customer053@contoso.example,+1-555-010-0053,Chile,Finanzas,"53 Training Avenue, Chile",2025-02-23
54,Northwind Traders Demo Customer 054,customer054@contoso.example,+1-555-010-0054,Colombia,Salud,"54 Training Avenue, Colombia",2025-02-24
55,Woodgrove Bank Demo Customer 055,customer055@contoso.example,+1-555-010-0055,Portugal,Educación,"55 Training Avenue, Portugal",2025-02-25
56,Adventure Works Demo Customer 056,customer056@contoso.example,+1-555-010-0056,Perú,Manufactura,"56 Training Avenue, Perú",2025-02-26
